DateTime,Day,Date,Time,load_kwh
2024-01-03 11:00:00,Wednesday,03 Jan 2024,11:00,338.32
2024-01-03 12:00:00,Wednesday,03 Jan 2024,12:00,321.23
2024-01-03 13:00:00,Wednesday,03 Jan 2024,13:00,315.01
2024-01-03 14:00:00,Wednesday,03 Jan 2024,14:00,328.05
2024-01-03 15:00:00,Wednesday,03 Jan 2024,15:00,324.85
2024-01-03 16:00:00,Wednesday,03 Jan 2024,16:00,319.85
2024-01-03 17:00:00,Wednesday,03 Jan 2024,17:00,330.62
2024-01-03 18:00:00,Wednesday,03 Jan 2024,18:00,325.25
2024-01-03 19:00:00,Wednesday,03 Jan 2024,19:00,322.45
2024-01-04 11:00:00,Thursday,04 Jan 2024,11:00,340.07
2024-01-04 12:00:00,Thursday,04 Jan 2024,12:00,319.58
2024-01-04 13:00:00,Thursday,04 Jan 2024,13:00,325.77
2024-01-04 14:00:00,Thursday,04 Jan 2024,14:00,322.18
2024-01-04 15:00:00,Thursday,04 Jan 2024,15:00,318.43
2024-01-04 16:00:00,Thursday,04 Jan 2024,16:00,324.43
2024-01-04 17:00:00,Thursday,04 Jan 2024,17:00,326.97
2024-01-04 18:00:00,Thursday,04 Jan 2024,18:00,318.3
2024-01-04 19:00:00,Thursday,04 Jan 2024,19:00,326.19
2024-01-04 20:00:00,Thursday,04 Jan 2024,20:00,326.88
2024-01-04 21:00:00,Thursday,04 Jan 2024,21:00,316.46
2024-01-04 22:00:00,Thursday,04 Jan 2024,22:00,316.17
2024-01-04 23:00:00,Thursday,04 Jan 2024,23:00,326.99
2024-01-05 00:00:00,Friday,05 Jan 2024,00:00,327.68
2024-01-05 01:00:00,Friday,05 Jan 2024,01:00,322.26
2024-01-05 02:00:00,Friday,05 Jan 2024,02:00,325.36
2024-01-05 03:00:00,Friday,05 Jan 2024,03:00,736.02
2024-01-05 04:00:00,Friday,05 Jan 2024,04:00,321.8
2024-01-05 05:00:00,Friday,05 Jan 2024,05:00,325.84
2024-01-05 06:00:00,Friday,05 Jan 2024,06:00,324.52
2024-01-05 07:00:00,Friday,05 Jan 2024,07:00,322.38
2024-01-05 08:00:00,Friday,05 Jan 2024,08:00,325.3
2024-01-05 09:00:00,Friday,05 Jan 2024,09:00,341.75
2024-01-05 10:00:00,Friday,05 Jan 2024,10:00,327.32
2024-01-05 11:00:00,Friday,05 Jan 2024,11:00,326.59
2024-01-05 12:00:00,Friday,05 Jan 2024,12:00,328.57
