Day,Date,Total Grid Power to Site (Calc) (kWHr),Trafo N1 Grid Power to Site (kWHr),Trafo N2 Grid Power to Site (kWHr)
Friday,01 Dec 2023 0:00,"2,073",0,"2,073"
Friday,01 Dec 2023 1:00,"2,475",0,"2,475"
Friday,01 Dec 2023 2:00,"2,594",0,"2,594"
Friday,01 Dec 2023 3:00,"4,965",0,"2,197"
Friday,01 Dec 2023 4:00,"2,262",0,"2,262"
Friday,01 Dec 2023 5:00,"2,121",0,"2,121"
Friday,01 Dec 2023 6:00,"2,375",0,"2,375"
Friday,01 Dec 2023 7:00,"2,481",0,"2,481"
Friday,01 Dec 2023 8:00,"2,826",0,"2,826"
Friday,01 Dec 2023 9:00,"2,931",0,"2,931"
Friday,01 Dec 2023 10:00,"3,254",0,"3,254"
Friday,01 Dec 2023 11:00,"2,967",0,"2,967"
Friday,01 Dec 2023 12:00,"3,176",0,"3,176"
Friday,01 Dec 2023 13:00,"3,505",0,"3,505"
Friday,01 Dec 2023 14:00,"2,584",0,"2,584"
Friday,01 Dec 2023 15:00,"2,150",0,"2,150"
Friday,01 Dec 2023 16:00,"3,184",0,"3,184"
Friday,01 Dec 2023 17:00,"2,795",0,"2,795"
Friday,01 Dec 2023 18:00,"2,733",0,"2,733"
Friday,01 Dec 2023 19:00,"2,535",0,"2,535"
Friday,01 Dec 2023 20:00,"2,631",0,"2,631"
Friday,01 Dec 2023 21:00,"2,521",0,"2,521"
Friday,01 Dec 2023 22:00,"2,431",0,"2,431"
Friday,01 Dec 2023 23:00,"2,515",0,"3,186"
Saturday,02 Dec 2023 0:00,"2,747",0,"2,747"
Saturday,02 Dec 2023 1:00,"2,333",0,"2,333"
Saturday,02 Dec 2023 2:00,"2,262",0,"2,262"
Saturday,02 Dec 2023 3:00,"4,825",0,"2,238"
Saturday,02 Dec 2023 4:00,"2,233",0,"2,233"
Saturday,02 Dec 2023 5:00,"2,242",0,"2,242"
Saturday,02 Dec 2023 6:00,"2,253",0,"2,253"
Saturday,02 Dec 2023 7:00,"2,383",0,"2,383"
Saturday,02 Dec 2023 8:00,"2,637",0,"2,637"
Saturday,02 Dec 2023 9:00,"2,459",0,"2,459"
Saturday,02 Dec 2023 10:00,"2,446",0,"2,446"
Saturday,02 Dec 2023 11:00,"2,531",0,"2,531"
Saturday,02 Dec 2023 12:00,"2,661",0,"2,661"
Saturday,02 Dec 2023 13:00,"2,505",0,"2,505"
Saturday,02 Dec 2023 14:00,"2,432",0,"2,432"
Saturday,02 Dec 2023 15:00,"2,559",0,"2,559"
Saturday,02 Dec 2023 16:00,"2,653",0,"2,653"
Saturday,02 Dec 2023 17:00,"2,491",0,"2,491"
Saturday,02 Dec 2023 18:00,"2,411",0,"2,411"
Saturday,02 Dec 2023 19:00,"2,391",0,"2,391"
Saturday,02 Dec 2023 20:00,"2,315",0,"2,315"
Saturday,02 Dec 2023 21:00,"2,447",0,"2,447"
Saturday,02 Dec 2023 22:00,"2,358",0,"2,358"
Saturday,02 Dec 2023 23:00,"2,285",0,"2,870"
Sunday,03 Dec 2023 0:00,"2,362",0,"2,362"
Sunday,03 Dec 2023 1:00,"2,346",0,"2,346"
Sunday,03 Dec 2023 2:00,"2,494",0,"2,494"
Sunday,03 Dec 2023 3:00,"5,004",0,"2,310"
Sunday,03 Dec 2023 4:00,"2,216",0,"2,216"
Sunday,03 Dec 2023 5:00,"2,139",0,"2,139"
Sunday,03 Dec 2023 6:00,"2,188",0,"2,188"
Sunday,03 Dec 2023 7:00,"2,363",0,"2,363"
Sunday,03 Dec 2023 8:00,"2,709",0,"2,709"
Sunday,03 Dec 2023 9:00,"2,622",0,"2,622"
Sunday,03 Dec 2023 10:00,"2,568",0,"2,568"
Sunday,03 Dec 2023 11:00,"2,486",0,"2,486"
Sunday,03 Dec 2023 12:00,"2,440",0,"2,440"
Sunday,03 Dec 2023 13:00,"2,376",0,"2,376"
Sunday,03 Dec 2023 14:00,"2,245",0,"2,245"
Sunday,03 Dec 2023 15:00,"2,385",0,"2,385"
Sunday,03 Dec 2023 16:00,"2,570",0,"2,570"
Sunday,03 Dec 2023 17:00,"2,406",0,"2,406"
Sunday,03 Dec 2023 18:00,"2,432",0,"2,432"
Sunday,03 Dec 2023 19:00,"2,395",0,"2,395"
Sunday,03 Dec 2023 20:00,"2,479",0,"2,479"
Sunday,03 Dec 2023 21:00,"2,683",0,"2,683"
Sunday,03 Dec 2023 22:00,"2,451",0,"2,451"
Sunday,03 Dec 2023 23:00,"2,433",0,"3,052"
Monday,04 Dec 2023 0:00,"2,435",0,"2,435"
Monday,04 Dec 2023 1:00,"2,366",0,"2,366"
Monday,04 Dec 2023 2:00,"2,464",0,"2,464"
Monday,04 Dec 2023 3:00,"5,661",0,"2,372"
Monday,04 Dec 2023 4:00,"2,235",0,"2,235"
Monday,04 Dec 2023 5:00,"2,181",0,"2,181"
Monday,04 Dec 2023 6:00,"2,359",0,"2,359"
Monday,04 Dec 2023 7:00,"2,590",0,"2,590"
Monday,04 Dec 2023 8:00,"2,812",0,"2,812"
Monday,04 Dec 2023 9:00,"3,167",0,"3,167"
Monday,04 Dec 2023 10:00,"3,181",0,"3,181"
Monday,04 Dec 2023 11:00,"3,175",0,"3,175"
Monday,04 Dec 2023 12:00,"3,057",0,"3,057"
