month,total_energy_kwh,average_load_kw,interval_count,highest_recorded_hourly_load_kw,peak_interval_count
2024-01,169831.46,344.48572008113587,493,434.29,188
2024-02,225462.16,341.0925264750378,661,588.05,255
2024-03,241611.0,340.7771509167842,709,689.86,273
2024-04,1916.78,319.4633333333333,6,322.45,5
2024-05,95235.71,520.4137158469946,183,982.6,73
2024-06,161344.97,438.4374184782609,368,962.4,98
2024-07,182131.22,392.52418103448275,464,999.83,131
2024-08,218937.95,374.89375,584,968.66,205
2024-09,173132.19,363.72308823529414,476,881.29,204
2024-10,49364.52,335.8130612244898,147,995.43,80
2024-11,210938.38,337.501408,625,828.68,223
2024-12,248164.53,334.00340511440106,743,637.08,285
