month,measured_energy_kwh,average_hourly_load_kw,highest_observed_load_kw,actual_hours,peak_period_hours,expected_hours,missing_hours,coverage_percent,estimated_energy_cost,data_quality
2024-01,169831.46,344.48572008113587,992.26,493,188,744,251,66.26,9371.3,Limited
2024-02,225462.16,341.0925264750378,852.02,661,255,696,35,94.97,12441.0,Good
2024-03,241611.0,340.7771509167842,927.05,709,273,744,35,95.3,13332.09,Good
2024-04,1916.78,319.4633333333333,324.31,6,5,720,714,0.83,105.77,Very limited
2024-05,95235.71,520.4137158469946,998.24,183,73,744,561,24.6,5255.11,Very limited
2024-06,161344.97,438.4374184782609,962.4,368,98,720,352,51.11,8903.02,Limited
2024-07,182131.22,392.52418103448275,999.83,464,131,744,280,62.37,10050.0,Limited
2024-08,218937.95,374.89375,992.54,584,205,744,160,78.49,12081.0,Moderate
2024-09,173132.19,363.72308823529414,976.98,476,204,720,244,66.11,9553.43,Limited
2024-10,49364.52,335.8130612244898,995.43,147,80,744,597,19.76,2723.93,Very limited
2024-11,210938.38,337.501408,886.71,625,223,720,95,86.81,11639.58,Moderate
2024-12,248164.53,334.00340511440106,794.77,743,285,744,1,99.87,13693.72,Good
